               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,             0.01687,            0.012337,            0.016792,             0.95688,             0.89706,             0.96994,             0.80303,            0.010937,           0.0049446,           0.0039969,            0.001882,            0.001882,            0.001882
                  84,            0.018389,            0.013313,            0.018432,             0.91253,             0.93902,             0.97169,             0.82131,            0.010297,           0.0048531,           0.0038545,            0.001783,            0.001783,            0.001783
                  85,            0.015076,            0.012489,            0.016225,             0.92562,             0.94177,             0.97399,              0.8252,            0.010531,           0.0048866,           0.0037275,            0.001684,            0.001684,            0.001684
                  86,            0.017983,            0.012279,            0.017021,             0.94306,             0.91331,             0.97264,             0.81549,            0.010221,            0.004849,           0.0036765,            0.001585,            0.001585,            0.001585
                  87,            0.017044,            0.012475,            0.018383,             0.93372,             0.93807,             0.97324,              0.8282,            0.010159,           0.0048315,           0.0036813,            0.001486,            0.001486,            0.001486
                  88,            0.020166,            0.013868,             0.01813,             0.94392,              0.9302,              0.9728,              0.8314,           0.0098127,           0.0048287,           0.0034999,            0.001387,            0.001387,            0.001387
                  89,            0.017664,            0.013331,            0.016886,              0.9396,             0.94976,             0.97469,             0.83449,            0.009818,           0.0048352,           0.0031359,            0.001288,            0.001288,            0.001288
                  90,            0.016073,            0.013024,             0.01424,             0.95019,             0.94865,             0.97552,             0.83329,           0.0099872,           0.0048693,           0.0030103,            0.001189,            0.001189,            0.001189
                  91,            0.017928,            0.012965,            0.017631,             0.95132,             0.94901,             0.97572,             0.83613,           0.0095737,           0.0048128,           0.0029408,             0.00109,             0.00109,             0.00109
                  92,             0.01761,            0.013102,            0.016781,             0.95033,             0.94872,             0.97559,             0.83073,           0.0094769,           0.0047444,            0.002888,            0.000991,            0.000991,            0.000991
                  93,            0.017208,             0.01269,            0.015449,             0.93923,              0.9636,               0.977,             0.84193,           0.0095582,           0.0046611,           0.0028483,            0.000892,            0.000892,            0.000892
                  94,            0.015101,            0.012203,            0.014336,             0.93528,             0.96773,             0.97745,             0.84863,           0.0093729,           0.0046137,           0.0028556,            0.000793,            0.000793,            0.000793
                  95,            0.014538,            0.012423,            0.014002,             0.93434,             0.96723,              0.9777,             0.84962,           0.0093435,           0.0045891,           0.0029053,            0.000694,            0.000694,            0.000694
                  96,            0.014652,            0.011804,            0.015811,             0.93788,             0.96198,             0.97735,             0.85106,           0.0092593,            0.004558,           0.0029004,            0.000595,            0.000595,            0.000595
                  97,            0.015577,            0.012412,            0.013922,              0.9433,             0.96557,             0.97867,             0.85233,           0.0093751,           0.0045675,             0.00284,            0.000496,            0.000496,            0.000496
                  98,            0.017748,            0.012343,            0.016295,             0.95635,             0.95426,             0.97816,             0.84814,           0.0093449,           0.0045926,           0.0028327,            0.000397,            0.000397,            0.000397
                  99,            0.017424,            0.012691,            0.015655,             0.95428,             0.95936,             0.97907,             0.85347,           0.0092794,           0.0045606,           0.0027847,            0.000298,            0.000298,            0.000298
